year,month,amo_value
1948,1,-0.009000000000000001
1949,1,0.159
1950,1,0.11699999999999999
1951,1,0.109
1952,1,0.17800000000000002
1953,1,0.272
1954,1,0.23399999999999999
1955,1,0.083
1956,1,0.193
1957,1,-0.07400000000000001
1958,1,0.055
1959,1,0.107
1960,1,0.183
1961,1,0.067
1962,1,0.156
1963,1,0.16399999999999998
1964,1,-0.069
1965,1,-0.192
1966,1,-0.069
1967,1,0.08800000000000001
1968,1,-0.24
1969,1,-0.057
1970,1,-0.004
1971,1,-0.239
1972,1,-0.311
1973,1,-0.36700000000000005
1974,1,-0.268
1975,1,-0.265
1976,1,-0.376
1977,1,-0.381
1978,1,-0.09699999999999999
1979,1,-0.183
1980,1,0.008
1981,1,-0.16699999999999998
1982,1,-0.066
1983,1,-0.28300000000000003
1984,1,-0.091
1985,1,-0.33899999999999997
1986,1,-0.327
1987,1,-0.262
1988,1,-0.026000000000000002
1989,1,-0.20800000000000002
1990,1,-0.287
1991,1,-0.183
1992,1,-0.179
1993,1,-0.22899999999999998
1994,1,-0.28600000000000003
1995,1,-0.052000000000000005
1996,1,-0.0
1997,1,-0.08199999999999999
1998,1,0.14
1999,1,0.061
2000,1,-0.07400000000000001
2001,1,-0.11699999999999999
2002,1,0.192
2003,1,0.061
2004,1,0.221
2005,1,0.121
2006,1,0.134
2007,1,0.182
2008,1,0.040999999999999995
2009,1,-0.047
2010,1,0.051
2011,1,0.155
2012,1,-0.053
2013,1,0.14
2014,1,-0.05
2015,1,0.004
2016,1,0.243
1948,2,-0.021
1949,2,0.166
1950,2,-0.027000000000000003
1951,2,0.005
1952,2,0.18899999999999997
1953,2,0.192
1954,2,0.102
1955,2,0.047
1956,2,0.10099999999999999
1957,2,-0.099
1958,2,0.196
1959,2,0.121
1960,2,0.223
1961,2,0.08800000000000001
1962,2,0.158
1963,2,0.172
1964,2,0.027999999999999997
1965,2,-0.17
1966,2,0.017
1967,2,0.094
1968,2,-0.192
1969,2,0.111
1970,2,-0.042
1971,2,-0.28600000000000003
1972,2,-0.373
1973,2,-0.386
1974,2,-0.276
1975,2,-0.331
1976,2,-0.433
1977,2,-0.325
1978,2,-0.138
1979,2,-0.142
1980,2,-0.068
1981,2,-0.165
1982,2,-0.063
1983,2,-0.08800000000000001
1984,2,-0.07200000000000001
1985,2,-0.314
1986,2,-0.259
1987,2,-0.20199999999999999
1988,2,-0.10099999999999999
1989,2,-0.14400000000000002
1990,2,-0.149
1991,2,-0.105
1992,2,-0.083
1993,2,-0.17600000000000002
1994,2,-0.299
1995,2,-0.03
1996,2,-0.022000000000000002
1997,2,-0.026000000000000002
1998,2,0.301
1999,2,0.067
2000,2,-0.027999999999999997
2001,2,-0.017
2002,2,0.175
2003,2,-0.002
2004,2,0.22
2005,2,0.136
2006,2,0.086
2007,2,0.228
2008,2,0.14
2009,2,-0.153
2010,2,0.18899999999999997
2011,2,0.11900000000000001
2012,2,0.016
2013,2,0.127
2014,2,-0.031
2015,2,0.008
2016,2,0.16699999999999998
1948,3,0.034
1949,3,0.045
1950,3,-0.099
1951,3,0.019
1952,3,0.237
1953,3,0.14800000000000002
1954,3,0.10800000000000001
1955,3,0.048
1956,3,0.02
1957,3,-0.012
1958,3,0.35100000000000003
1959,3,-0.02
1960,3,0.095
1961,3,0.155
1962,3,0.172
1963,3,0.14
1964,3,0.046
1965,3,-0.071
1966,3,-0.003
1967,3,-0.027000000000000003
1968,3,-0.20199999999999999
1969,3,0.213
1970,3,0.025
1971,3,-0.304
1972,3,-0.43200000000000005
1973,3,-0.337
1974,3,-0.39399999999999996
1975,3,-0.302
1976,3,-0.485
1977,3,-0.175
1978,3,-0.15
1979,3,-0.21899999999999997
1980,3,-0.129
1981,3,0.016
1982,3,-0.065
1983,3,0.09699999999999999
1984,3,-0.109
1985,3,-0.341
1986,3,-0.27699999999999997
1987,3,-0.017
1988,3,0.004
1989,3,-0.24100000000000002
1990,3,-0.166
1991,3,-0.057
