"year","month","cell_id","sat","n_fires"
2010,10,1,"A",5
2010,10,1,"T",6
2010,10,3,"A",3
2010,10,3,"T",2
2010,10,4,"A",3
2010,10,4,"T",12
2010,10,5,"A",4
2010,10,5,"T",4
2010,10,6,"T",3
2010,10,13,"A",1
2010,10,14,"A",23
2010,10,14,"T",23
2010,10,15,"A",145
2010,10,15,"T",86
2010,10,16,"A",19
2010,10,16,"T",40
2010,10,17,"A",63
2010,10,17,"T",33
2010,10,18,"A",50
2010,10,18,"T",18
2010,10,24,"A",5
2010,10,24,"T",7
2010,10,25,"A",46
2010,10,25,"T",26
2010,10,26,"A",27
2010,10,26,"T",10
2010,10,27,"A",12
2010,10,27,"T",3
2010,10,28,"A",35
2010,10,28,"T",34
2010,10,29,"A",101
2010,10,29,"T",57
2010,10,30,"A",73
2010,10,30,"T",51
2010,10,35,"A",85
2010,10,35,"T",38
2010,10,36,"A",20
2010,10,36,"T",2
2010,10,37,"A",45
2010,10,37,"T",6
2010,10,38,"A",35
2010,10,38,"T",2
2010,10,39,"A",185
2010,10,39,"T",57
2010,10,40,"A",600
2010,10,40,"T",207
2010,10,41,"A",1510
2010,10,41,"T",875
2010,10,42,"A",890
2010,10,42,"T",468
2010,10,43,"A",279
2010,10,43,"T",112
2010,10,44,"A",4
2010,10,46,"A",104
2010,10,46,"T",47
2010,10,47,"A",510
2010,10,47,"T",109
2010,10,48,"A",280
2010,10,48,"T",184
2010,10,49,"A",410
2010,10,49,"T",265
2010,10,50,"A",552
2010,10,50,"T",411
2010,10,51,"A",547
2010,10,51,"T",350
2010,10,52,"A",1379
2010,10,52,"T",918
2010,10,53,"A",3550
2010,10,53,"T",2237
2010,10,54,"A",804
2010,10,54,"T",329
2010,10,55,"A",60
2010,10,55,"T",80
2010,10,57,"A",2
2010,10,57,"T",1
2010,10,58,"A",174
2010,10,58,"T",50
2010,10,59,"A",347
2010,10,59,"T",221
2010,10,60,"A",1585
2010,10,60,"T",1115
2010,10,61,"A",1200
2010,10,61,"T",952
2010,10,62,"A",1023
2010,10,62,"T",1095
2010,10,63,"A",1490
2010,10,63,"T",1256
2010,10,64,"A",3225
2010,10,64,"T",1766
2010,10,65,"A",1018
2010,10,65,"T",139
2010,10,70,"A",51
2010,10,70,"T",22
2010,10,71,"A",2291
2010,10,71,"T",815
2010,10,72,"A",772
2010,10,72,"T",469
2010,10,73,"A",403
2010,10,73,"T",306
2010,10,74,"A",430
2010,10,74,"T",205
2010,10,75,"A",676
2010,10,75,"T",205
2010,10,76,"A",192
2010,10,76,"T",28
2010,10,81,"A",3
2010,10,81,"T",7
2010,10,82,"A",588
2010,10,82,"T",408
2010,10,83,"A",1171
2010,10,83,"T",782
2010,10,84,"A",269
2010,10,84,"T",63
2010,10,85,"A",146
2010,10,85,"T",227
2010,10,86,"A",88
2010,10,86,"T",9
2010,10,87,"A",2
2010,10,87,"T",4
2010,10,92,"A",6
2010,10,92,"T",9
2010,10,93,"A",761
2010,10,93,"T",515
2010,10,94,"A",584
2010,10,94,"T",494
2010,10,95,"A",195
2010,10,95,"T",42
2010,10,96,"A",76
2010,10,96,"T",18
2010,10,102,"T",3
2010,10,103,"A",32
2010,10,103,"T",24
2010,10,104,"A",25
2010,10,104,"T",30
2010,10,105,"A",57
2010,10,105,"T",61
2010,10,106,"A",45
2010,10,106,"T",35
2010,10,113,"A",28
2010,10,113,"T",15
2010,10,114,"A",3
2010,10,114,"T",5
2010,10,115,"A",4
2010,10,115,"T",16
2010,10,116,"A",11
2010,10,116,"T",25
2010,10,NA,"A",8
2010,10,NA,"T",6
2001,10,3,"T",3
2001,10,4,"T",5
2001,10,5,"T",2
2001,10,14,"T",7
2001,10,15,"T",5
2001,10,16,"T",8
2001,10,17,"T",5
2001,10,24,"T",10
2001,10,25,"T",14
2001,10,27,"T",1
2001,10,28,"T",4
2001,10,29,"T",1
2001,10,30,"T",6
2001,10,35,"T",26
2001,10,36,"T",1
2001,10,38,"T",2
2001,10,39,"T",16
2001,10,40,"T",19
2001,10,41,"T",97
2001,10,42,"T",82
2001,10,43,"T",8
2001,10,44,"T",1
2001,10,46,"T",11
2001,10,47,"T",14
2001,10,48,"T",54
2001,10,49,"T",35
2001,10,50,"T",36
2001,10,51,"T",31
2001,10,52,"T",129
2001,10,53,"T",395
2001,10,54,"T",31
2001,10,55,"T",21
2001,10,58,"T",3
2001,10,59,"T",100
2001,10,60,"T",189
2001,10,61,"T",219
2001,10,62,"T",662
2001,10,63,"T",137
2001,10,64,"T",220
2001,10,65,"T",28
2001,10,69,"T",1
2001,10,70,"T",6
2001,10,71,"T",45
2001,10,72,"T",257
2001,10,73,"T",111
2001,10,74,"T",10
2001,10,75,"T",1
2001,10,76,"T",6
2001,10,82,"T",11
2001,10,83,"T",232
2001,10,84,"T",22
2001,10,85,"T",1
2001,10,92,"T",2
2001,10,93,"T",54
2001,10,94,"T",52
2001,10,102,"T",5
2001,10,104,"T",5
2010,10,1,"A",6
2010,10,1,"T",1
2010,10,3,"A",7
2010,10,3,"T",3
2010,10,4,"A",30
2010,10,4,"T",54
2010,10,5,"A",25
2010,10,5,"T",16
2010,10,14,"A",49
2010,10,14,"T",27
2010,10,15,"A",571
2010,10,15,"T",409
2010,10,16,"A",136
2010,10,16,"T",52
2010,10,17,"A",79
2010,10,17,"T",37
2010,10,18,"A",141
2010,10,18,"T",39
2010,10,24,"A",12
2010,10,25,"A",139
2010,10,25,"T",81
2010,10,26,"A",95
2010,10,26,"T",57
2010,10,27,"A",5
2010,10,28,"A",81
2010,10,28,"T",49
2010,10,29,"A",121
2010,10,29,"T",44
2010,10,30,"A",214
2010,10,30,"T",75
2010,10,35,"A",152
2010,10,35,"T",59
2010,10,36,"A",26
2010,10,36,"T",8
2010,10,37,"A",34
2010,10,37,"T",4
2010,10,38,"A",61
2010,10,39,"A",353
2010,10,39,"T",40
2010,10,40,"A",846
2010,10,40,"T",241
2010,10,41,"A",2442
2010,10,41,"T",1040
2010,10,42,"A",1396
2010,10,42,"T",619
2010,10,43,"A",431
2010,10,43,"T",48
2010,10,44,"A",21
2010,10,44,"T",3
2010,10,46,"A",87
2010,10,46,"T",25
2010,10,47,"A",143
2010,10,47,"T",18
2010,10,48,"A",177
2010,10,48,"T",56
2010,10,49,"A",489
2010,10,49,"T",119
2010,10,50,"A",364
2010,10,50,"T",142
2010,10,51,"A",398
2010,10,51,"T",194
2010,10,52,"A",1467
2010,10,52,"T",614
2010,10,53,"A",1934
2010,10,53,"T",1015
2010,10,54,"A",643
2010,10,54,"T",208
2010,10,55,"A",32
2010,10,55,"T",90
2010,10,57,"A",1
2010,10,57,"T",1
2010,10,58,"A",57
2010,10,58,"T",20
2010,10,59,"A",416
2010,10,59,"T",164
2010,10,60,"A",828
2010,10,60,"T",783
2010,10,61,"A",995
2010,10,61,"T",551
2010,10,62,"A",888
